id,question_id,choice_text,is_correct,created_at
1,1,"Data Science involves exploration, prediction, and inference to draw useful conclusions from large datasets.",true,
2,1,Data Science is mainly concerned with designing websites and user interfaces.,false,
3,1,Data Science primarily focuses on hardware engineering and architecture.,false,
4,1,Data Science involves the creation of new programming languages for software development.,false,
5,2,Exploration in data science is about applying machine learning algorithms to build models.,false,
6,2,Exploration in data science is about collecting new data from various sources.,false,
7,2,Exploration in data science is about identifying patterns in data using visualizations and descriptive statistics.,true,
8,2,Exploration in data science is about cleaning data to remove inconsistencies.,false,
9,3,Prediction is about collecting historical data without applying any analytical models.,false,
10,3,"Prediction involves using known information to make informed guesses about unknown values, often using machine learning and optimization.",true,
11,3,Prediction entails drawing conclusions about data using purely statistical formulas without any prior data.,false,
12,3,Prediction involves directly capturing future events without any underlying data analysis.,false,
13,4,Inference quantifies the size and shape of data clusters in a dataset.,false,
14,4,Inference quantifies the number of variables present in a data model.,false,
15,4,Inference quantifies certainty about whether patterns found in data will also appear in new observations.,true,
16,4,Inference quantifies the exact numerical value of data features in a dataset.,false,
17,5,Statistics replaces the need for machine learning models.,false,
18,5,Statistics is crucial in data science for making robust conclusions based on incomplete information.,true,
19,5,Statistics is used only for organizing large datasets.,false,
20,5,Statistics ensures that all data analyses are error-free.,false,
21,6,Computing ensures that all data science tasks are performed faster than any human could achieve.,false,
22,6,Computing allows data scientists to manage large datasets without any errors.,false,
23,6,Computing is only used in data science for creating visualizations and charts.,false,
24,6,Computing enables the application of analysis techniques.,true,
25,7,Data science primarily deals with video editing and production for multimedia content.,false,
26,7,"Data science involves the analysis of diverse data types, including numbers, text, images, videos, and sensor readings.",true,
27,7,Data science is exclusively focused on text data and language processing.,false,
28,7,Data science only involves analyzing numerical data like statistics and financial figures.,false,
29,8,A key aspect of data science is the application of inferential and computational tools to interpret data.,true,
30,8,A key aspect of data science is collecting data from multiple sources.,false,
31,8,A key aspect of data science is creating visualizations to summarize data trends.,false,
32,8,A key aspect of data science is designing efficient data storage solutions.,false,
33,9,Understanding the domain is primarily needed for programming skills.,false,
34,9,Data scientists must understand the domain they are working in to ask relevant questions about the data.,true,
35,9,Domain knowledge is only necessary for data entry tasks.,false,
36,9,It helps in automating the data analysis process without human intervention.,false,
37,10,Data science includes the creation of new programming languages for data manipulation.,false,
38,10,Data science includes deriving actionable insights through applications.,true,
39,10,Data science is mainly about data entry and simple data management tasks.,false,
40,10,Data science is primarily focused on the storage solutions for large datasets.,false,
41,11,Statistics,false,
42,11,Data engineering,false,
43,11,Data science,true,
44,11,Machine learning,false,
45,12,"Effective data analysis consists of three core aspects: collection, processing, and storage.",false,
46,12,"Effective data analysis consists of three core aspects: hypothesis generation, modeling, and conclusion.",false,
47,12,"Effective data analysis consists of three core aspects: exploration, prediction, and inference.",true,
48,12,"Effective data analysis consists of three core aspects: data cleaning, visualization, and reporting.",false,
49,13,Understanding data science requires knowledge of only data visualization tools.,false,
50,13,Understanding data science requires knowledge of statistical and computational techniques and their application to real-world scenarios.,true,
51,13,Understanding data science requires knowledge of mathematical concepts without computational techniques.,false,
52,13,Understanding data science requires knowledge of only programming languages.,false,
53,14,Data are descriptions of the world that are collected through observations and stored on computers.,true,
54,14,Data are complex algorithms used to solve computational problems.,false,
55,14,Data are computer programs written to process specific tasks.,false,
56,14,Data are systems that manage hardware components of computers.,false,
57,15,A consistent approach to web development involves combining user interface design with server-side programming.,false,
58,15,A consistent approach to programming efficiency involves introducing software design patterns alongside statistical analysis.,false,
59,15,A consistent approach to data analysis involves introducing statistical ideas alongside fundamental computer science concepts.,true,
60,15,A consistent approach to artificial intelligence involves understanding neural networks alongside machine learning algorithms.,false,
61,16,Data science primarily focuses on creating visualizations to interpret data.,false,
62,16,Data science involves only using machine learning algorithms to make predictions.,false,
63,16,Data science involves solely relying on big data sets to make conclusions.,false,
64,16,Data science involves making reliable conclusions using incomplete information by combining computation with randomization.,true,
65,17,"Computation in data science simplifies data sets by ignoring outliers, which helps in drawing conclusions quickly.",false,
66,17,"Computation in data science focuses on theoretical models rather than actual data trends, aiding in hypothesis generation.",false,
67,17,"Computation in data science allows us to use all available data to draw more comprehensive conclusions, such as analyzing a full range of temperatures to understand climate trends.",true,
68,17,"Computation in data science helps by predicting future data points based solely on historical averages, providing a simplified conclusion.",false,
69,18,"Randomization helps in data science by allowing the consideration of multiple possible scenarios that align with partial data, aiding in making informed predictions.",true,
70,18,"Randomization ensures data is always distributed normally, which simplifies analysis.",false,
71,18,Randomization allows for the collection of data without any noise or errors.,false,
72,18,Randomization eliminates all biases in data without additional methods.,false,
73,19,Using randomness suggests that all incomplete information should be disregarded as insignificant.,false,
74,19,Using randomness involves replacing missing data with the most common value found in the dataset.,false,
75,19,"Using randomness means imagining different ways incomplete information might be completed, rather than making assumptions on specific data variations.",true,
76,19,Using randomness means ignoring incomplete information and proceeding with the available data.,false,
77,20,A nuanced analysis in data science involves ignoring outliers to simplify data interpretation.,false,
78,20,"A nuanced analysis in data science involves looking beyond simple averages, considering a broader range of data to make more nuanced insights.",true,
79,20,A nuanced analysis in data science involves focusing solely on the median without context.,false,
