id,topic,description,difficulty,created_at,slug,level,title,content_md,unmodified_content_md,metadata,sub_order,topic_order
157990508,From Correlation to Causation,,,,024randomizationmd,1,Randomization,"Randomization  An excellent way to avoid confounding is to assign individuals to the treatment and control groups at random, and then administer the treatment to those who were assigned to the treatment group. Randomization keeps the two groups similar apart from the treatment. If you are able to randomize individuals into the treatment and control groups, you are running a randomized controlled experiment, also known as a randomized controlled trial (RCT). Sometimes, people’s responses in an experiment are influenced by their knowing which group they are in. So you might want to run a blind experiment in which individuals do not know whether they are in the treatment group or the control group. To make this work, you will have to give the control group a placebo, which is something that looks exactly like the treatment but in fact has no effect. Randomized controlled experiments have lo

ng been a gold standard in the medical field, for example in establishing whether a new drug works. They are also becoming more commonly used in other fields such as economics. Example: Welfare subsidies in Mexico. In Mexican villages in the 1990’s, children in poor families were often not enrolled in school. One of the reasons was that the older children could go to work and thus help support the family. Santiago Levy, a minister in Mexican Ministry of Finance, set out to investigate whether welfare programs could be used to increase school enrollment and improve health conditions. He conducted an RCT on a set of villages, selecting some of them at random to receive a new welfare program called PROGRESA. The program gave money to poor families if their children went to school regularly and the family used preventive health care. More money was given if the children were in secondary sch

ool than in primary school, to compensate for the children’s lost wages, and more money was given for girls attending school than for boys. The remaining villages did not get this treatment, and formed the control group. Because of the randomization, there were no confounding factors and it was possible to establish that PROGRESA increased school enrollment. For boys, the enrollment increased from 73% in the control group to 77% in the PROGRESA group. For girls, the increase was even greater, from 67% in the control group to almost 75% in the PROGRESA group. Due to the success of this experiment, the Mexican government supported the program under the new name OPORTUNIDADES, as an investment in a healthy and well educated population. Benefits of Randomization In the terminology that we have developed, John Snow conducted an observational study, not a randomized experiment. But he called h

is study a “grand experiment” because, as he wrote, “No fewer than three hundred thousand people … were divided into two groups without their choice, and in most cases, without their knowledge …” Studies such as Snow’s are sometimes called “natural experiments.” However, true randomization does not simply mean that the treatment and control groups are selected “without their choice.” Randomization has to be carried out very carefully, following the laws of probability. The method of randomization can be as simple as tossing a coin. It may also be quite a bit more complex. But every method of randomization consists of a sequence of carefully defined steps that allow chances to be specified mathematically. This has two important consequences. 1. It allows us to account—mathematically—for the possibility that randomization produces treatment and control groups that are quite different from 

each other. 2. It allows us to make precise mathematical statements about differences between the treatment and control groups. This in turn helps us make justifiable conclusions about whether the treatment has any effect. What if you can't randomize? In some situations it might not be possible to carry out a randomized controlled experiment, even when the aim is to investigate causality. For example, suppose you want to study the effects of alcohol consumption during pregnancy, and you randomly assign some pregnant women to your “alcohol” group. You should not expect cooperation from them if you present them with a drink. In such situations you will almost invariably be conducting an observational study, not an experiment. Be alert for confounding factors. In this course, you will learn how to conduct and analyze your own randomized experiments. That will involve more detail than has be

en presented in this chapter. For now, just focus on the main idea: to try to establish causality, run a randomized controlled experiment if possible. If you are conducting an observational study, you might be able to establish association but it will be harder to establish causation. Be extremely careful about confounding factors before making conclusions about causality based on an observational study.","Randomization
=============

An excellent way to avoid confounding is to assign individuals to the treatment
and control groups *at random*, and then administer the treatment to those who
were assigned to the treatment group. Randomization keeps the two groups similar
apart from the treatment.

If you are able to randomize individuals into the treatment and control groups,
you are running a *randomized controlled experiment*, also known as a
*randomized controlled trial* (RCT). Sometimes, people’s responses in an
experiment are influenced by their knowing which group they are in. So you might
want to run a *blind* experiment in which individuals do not know whether they
are in the treatment group or the control group. To make this work, you will
have to give the control group a *placebo*, which is something that looks
exactly like the treatment but in fact has no effect.

Randomized controlled experiments have long been a gold standard in the medical
field, for example in establishing whether a new drug works. They are also
becoming more commonly used in other fields such as economics.

**Example: Welfare subsidies in Mexico.** In Mexican villages in the 1990’s,
children in poor families were often not enrolled in school. One of the reasons
was that the older children could go to work and thus help support the family.
Santiago Levy, a minister in Mexican Ministry of Finance, set out to
investigate whether welfare programs could be used to increase school enrollment
and improve health conditions. He conducted an RCT on a set of villages,
selecting some of them at random to receive a new welfare program called
PROGRESA. The program gave money to poor families if their children went to
school regularly and the family used preventive health care. More money was
given if the children were in secondary school than in primary school, to
compensate for the children’s lost wages, and more money was given for girls
attending school than for boys. The remaining villages did not get this
treatment, and formed the control group. Because of the randomization, there
were no confounding factors and it was possible to establish that PROGRESA
increased school enrollment. For boys, the enrollment increased from 73% in the
control group to 77% in the PROGRESA group. For girls, the increase was even
greater, from 67% in the control group to almost 75% in the PROGRESA group. Due
to the success of this experiment, the Mexican government supported the program
under the new name OPORTUNIDADES, as an investment in a healthy and well
educated population.

**Benefits of Randomization**

In the terminology that we have developed, John Snow conducted an
observational study, not a randomized experiment. But he called his study a
“grand experiment” because, as he wrote, “No fewer than three hundred thousand
people … were divided into two groups without their choice, and in most cases,
without their knowledge …”

Studies such as Snow’s are sometimes called “natural experiments.” However, true
randomization does not simply mean that the treatment and control groups are
selected “without their choice.” Randomization has to be carried out very carefully,
following the laws of probability.

The method of randomization can be as simple as tossing a coin. It may also be
quite a bit more complex. But every method of randomization consists of a
sequence of carefully defined steps that allow chances to be specified
mathematically. This has two important consequences.

1. It allows us to account—mathematically—for the possibility that randomization
   produces treatment and control groups that are quite different from each
   other.

2. It allows us to make precise mathematical statements about differences
   between the treatment and control groups. This in turn helps us make
   justifiable conclusions about whether the treatment has any effect.

**What if you can't randomize?**

In some situations it might not be possible to carry out a randomized controlled
experiment, even when the aim is to investigate causality. For example, suppose
you want to study the effects of alcohol consumption during pregnancy, and you
randomly assign some pregnant women to your “alcohol” group. You should not
expect cooperation from them if you present them with a drink. In such
situations you will almost invariably be conducting an observational study, not
an experiment. Be alert for confounding factors.

In this course, you will learn how to conduct and analyze your own randomized
experiments. That will involve more detail than has been presented in this
chapter. For now, just focus on the main idea: to try to establish causality,
run a randomized controlled experiment if possible. If you are conducting an
observational study, you might be able to establish association but it will be harder to establish causation. Be extremely careful about confounding factors before making
conclusions about causality based on an observational study.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":793,""source_path"":""02/4/randomization.md"",""estimated_minutes"":4}",3,2
663140214,How Data Behaves in Code,,,,0421string_methodsipynb,1,String Methods,"String Methods From an existing string, related strings can be constructed using string methods, which are functions that operate on strings. These methods are called by placing a dot after the string, then calling the function. For example, the following method generates an uppercased version of a string. Perhaps the most important method is replace, which replaces all instances of a substring within the string. The replace method takes two arguments, the text to be replaced and its replacement. String methods can also be invoked using variable names, as long as those names are bound to strings. So, for instance, the following twostep process generates the word ""degrade"" starting from ""train"" by first creating ""ingrain"" and then applying a second replacement. Note that the line t  s.replace('t', 'ing') doesn't change the string s, which is still ""train"". The method call s.replace('t', '

ing') just has a value, which is the string ""ingrain"". This is the first time we've seen methods, but methods are not unique to strings. As we will see shortly, other types of objects can have them.","# String Methods

From an existing string, related strings can be constructed using string methods, which are functions that operate on strings. These methods are called by placing a dot after the string, then calling the function.

For example, the following method generates an uppercased version of a string.

Perhaps the most important method is `replace`, which replaces all instances of a substring within the string. The `replace` method takes two arguments, the text to be replaced and its replacement.

String methods can also be invoked using variable names, as long as those names are bound to strings. So, for instance, the following two-step process generates the word ""degrade"" starting from ""train"" by first creating ""ingrain"" and then applying a second replacement.

Note that the line `t = s.replace('t', 'ing')` doesn't change the string `s`, which is still ""train"".  The method call `s.replace('t', 'ing')` just has a value, which is the string ""ingrain"".

This is the first time we've seen methods, but methods are not unique to strings.  As we will see shortly, other types of objects can have them.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":185,""source_path"":""04/2/1/String_Methods.ipynb"",""estimated_minutes"":1}",4,4
781822617,Seeing the World Through Data,,,,01what-is-data-sciencemd,1,What Is Data Science,"What is Data Science?  Data Science is about drawing useful conclusions from large and diverse data sets through exploration, prediction, and inference. Exploration involves identifying patterns in information. Prediction involves using information we know to make informed guesses about values we wish we knew. Inference involves quantifying our degree of certainty: will the patterns that we found in our data also appear in new observations? How accurate are our predictions? Our primary tools for exploration are visualizations and descriptive statistics, for prediction are machine learning and optimization, and for inference are statistical tests and models. Statistics is a central component of data science because statistics studies how to make robust conclusions based on incomplete information. Computing is a central component because programming allows us to apply analysis techniques t

o the large and diverse data sets that arise in realworld applications: not just numbers, but text, images, videos, and sensor readings. Data science is all of these things, but it is more than the sum of its parts because of the applications. Through understanding a particular domain, data scientists learn to ask appropriate questions about their data and correctly interpret the answers provided by our inferential and computational tools.","What is Data Science?
====================

Data Science is about drawing useful conclusions from large and diverse data
sets through exploration, prediction, and inference.  Exploration involves
identifying patterns in information.  Prediction involves using information
we know to make informed guesses about values we wish we knew.  Inference
involves quantifying our degree of certainty: will the patterns that we found in our data also appear in new observations? How accurate are our predictions? Our primary
tools for exploration are visualizations and descriptive statistics, for
prediction are machine learning and optimization, and for inference are
statistical tests and models.

Statistics is a central component of data science because statistics
studies how to make robust conclusions based on incomplete information. Computing
is a central component because programming allows us to apply analysis
techniques to the large and diverse data sets that arise in real-world
applications: not just numbers, but text, images, videos, and sensor readings.
Data science is all of these things, but it is more than the sum of its parts
because of the applications. Through understanding a particular domain, data
scientists learn to ask appropriate questions about their data and correctly
interpret the answers provided by our inferential and computational tools.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":199,""source_path"":""01/what-is-data-science.md"",""estimated_minutes"":1}",1,1
1176507067,Teaching the Computer to Work with Data,,,,032namesipynb,1,Names,"Names Names are given to values in Python using an assignment statement. In an assignment, a name is followed by , which is followed by any expression. The value of the expression to the right of  is assigned to the name. Once a name has a value assigned to it, the value will be substituted for that name in future expressions. A previously assigned name can be used in the expression to the right of . However, only the current value of an expression is assigned to a name. If that value changes later, names that were defined in terms of that value will not change automatically. Names must start with a letter, but can contain both letters and numbers. A name cannot contain a space; instead, it is common to use an underscore character  to replace each space. Names are only as useful as you make them; it's up to the programmer to choose names that are easy to interpret. Typically, more meanin

gful names can be invented than a and b. For example, to describe the sales tax on a $5 purchase in Berkeley, CA, the following names clarify the meaning of the various quantities involved.","# Names

Names are given to values in Python using an *assignment* statement. In an assignment, a name is followed by `=`, which is followed by any expression. The value of the expression to the right of `=` is *assigned* to the name. Once a name has a value assigned to it, the value will be substituted for that name in future expressions.

A previously assigned name can be used in the expression to the right of `=`. 

However, only the current value of an expression is assigned to a name. If that value changes later, names that were defined in terms of that value will not change automatically.

Names must start with a letter, but can contain both letters and numbers. A name cannot contain a space; instead, it is common to use an underscore character `_` to replace each space. Names are only as useful as you make them; it's up to the programmer to choose names that are easy to interpret. Typically, more meaningful names can be invented than `a` and `b`. For example, to describe the sales tax on a $5 purchase in Berkeley, CA, the following names clarify the meaning of the various quantities involved.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":197,""source_path"":""03/2/Names.ipynb"",""estimated_minutes"":1}",3,3
1251066844,From Correlation to Causation,,,,023establishing-causalitymd,1,Establishing Causality,"Establishing Causality  In the language developed in the sections of the textbook, you can think of the people in the S&V houses as the treatment group, and those in the Lambeth houses as the control group. A crucial element in John Snow’s analysis was that the people in the two groups were comparable to each other, apart from the treatment. In order to establish whether it was the water supply that was causing cholera, Snow had to compare two groups that were similar to each other in all but one aspect—their water supply. Only then would he be able to ascribe the differences in their outcomes to the water supply. If the two groups had been different in some other way as well, it would have been difficult to point the finger at the water supply as the source of the disease. For example, if the treatment group consisted of factory workers and the control group did not, then differences between the outc

omes in the two groups could have been due to the water supply, or to factory work, or both. The final picture would have been much more fuzzy. Snow’s brilliance lay in identifying two groups that would make his comparison clear. He had set out to establish a causal relation between contaminated water and cholera infection, and to a great extent he succeeded, even though the miasmatists ignored and even ridiculed him. Of course, Snow did not understand the detailed mechanism by which humans contract cholera. That discovery was made in 1883, when the German scientist Robert Koch isolated the Vibrio cholerae, the bacterium that enters the human small intestine and causes cholera. In fact the Vibrio cholerae had been identified in 1854 by Filippo Pacini in Italy, just about when Snow was analyzing his data in London. Because of the dominance of the miasmatists in Italy, Pacini’s discovery l

anguished unknown. But by the end of the 1800’s, the miasma brigade was in retreat. Subsequent history has vindicated Pacini and John Snow. Snow’s methods led to the development of the field of epidemiology, which is the study of the spread of diseases. Confounding Let us now return to more modern times, armed with an important lesson that we have learned along the way: In an observational study, if the treatment and control groups differ in ways other than the treatment, it is difficult to make conclusions about causality. An underlying difference between the two groups (other than the treatment) is called a confounding factor, because it might confound you (that is, mess you up) when you try to reach a conclusion. Example: Coffee and lung cancer. Studies in the 1960’s showed that coffee drinkers had higher rates of lung cancer than those who did not drink coffee. Because of this, some 

people identified coffee as a cause of lung cancer. But coffee does not cause lung cancer. The analysis contained a confounding factor—smoking. In those days, coffee drinkers were also likely to have been smokers, and smoking does cause lung cancer. Coffee drinking was associated with lung cancer, but it did not cause the disease. Confounding factors are common in observational studies. Good studies take great care to reduce confounding and to account for its effects.","Establishing Causality
======================

In the language developed in the sections of the textbook, you can think of the people in the S&V houses as the treatment group, and those in the Lambeth houses as the control group. A crucial element in John Snow’s analysis was that the people in the
two groups were comparable to each other, apart from the treatment.

In order to establish whether it was the water supply that was causing cholera,
Snow had to compare two groups that were similar to each other in all but one
aspect—their water supply. Only then would he be able to ascribe the differences
in their outcomes to the water supply. If the two groups had been different in
some other way as well, it would have been difficult to point the finger at the
water supply as the source of the disease.  For example, if the treatment group
consisted of factory workers and the control group did not, then differences
between the outcomes in the two groups could have been due to the water supply,
or to factory work, or both. The final picture would have been much more fuzzy.

Snow’s brilliance lay in identifying two groups that would make his comparison
clear. He had set out to establish a causal relation between contaminated water
and cholera infection, and to a great extent he succeeded, even though the
miasmatists ignored and even ridiculed him. Of course, Snow did not understand
the detailed mechanism by which humans contract cholera. That discovery was made
in 1883, when the German scientist Robert Koch isolated the *Vibrio cholerae*,
the bacterium that enters the human small intestine and causes cholera.

In fact the *Vibrio cholerae* had been identified in 1854 by Filippo Pacini in
Italy, just about when Snow was analyzing his data in London. Because of the
dominance of the miasmatists in Italy, Pacini’s discovery languished unknown.
But by the end of the 1800’s, the miasma brigade was in retreat. Subsequent
history has vindicated Pacini and John Snow. Snow’s methods led to the
development of the field of *epidemiology*, which is the study of the spread of
diseases.

**Confounding**

Let us now return to more modern times, armed with an important lesson that we
have learned along the way:

**In an observational study, if the treatment and control groups differ in ways
other than the treatment, it is difficult to make conclusions about causality.**

An underlying difference between the two groups (other than the treatment) is
called a *confounding factor*, because it might confound you (that is, mess you
up) when you try to reach a conclusion.

**Example: Coffee and lung cancer.** Studies in the 1960’s showed that coffee
drinkers had higher rates of lung cancer than those who did not drink coffee.
Because of this, some people identified coffee as a cause of lung cancer. But
coffee does not cause lung cancer. The analysis contained a confounding factor—smoking. In those days, coffee drinkers were also likely to have been smokers,
and smoking does cause lung cancer. Coffee drinking was associated with lung
cancer, but it did not cause the disease.

Confounding factors are common in observational studies. Good studies take great
care to reduce confounding and to account for its effects.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":544,""source_path"":""02/3/establishing-causality.md"",""estimated_minutes"":3}",2,2
1295251401,Seeing the World Through Data,,,,0111computational-toolsmd,1,Computational Tools,"Computational Tools  This text uses the Python 3 programming language, along with a standard set of numerical and data visualization tools that are used widely in commercial applications, scientific experiments, and opensource projects. Python has recruited enthusiasts from many professions that use data to draw conclusions. By learning the Python language, you will join a millionpersonstrong community of software developers and data scientists. A Python program can be executed by any computer, regardless of its manufacturer or operating system, provided 

that support for the language is installed. If you wish to install the version of Python and its accompanying libraries that will match this text, we recommend the [Anaconda][download] distribution that packages together the Python 3 language interpreter, IPython libraries, and the Jupyter notebook environment. [download]: http://continuum.io/downloads This text includes a complete introduction to all of these computational tools. You will learn to write programs, generate images from data, and work with realworld data sets that are published online.","Computational Tools
===================

This text uses the Python 3 programming language, along with a standard set of
numerical and data visualization tools that are used widely in commercial
applications, scientific experiments, and open-source projects.
Python has recruited enthusiasts from many professions that use data to draw
conclusions. By learning the Python language, you will join a
million-person-strong community of software developers and data scientists. 
A Python program can be executed by any computer, regardless of its
manufacturer or operating system, provided that support for the language is
installed. If you wish to install the version of Python and its accompanying
libraries that will match this text, we recommend the [Anaconda][download]
distribution that packages together the Python 3 language interpreter, IPython
libraries, and the Jupyter notebook environment.

   [download]: http://continuum.io/downloads

This text includes a complete introduction to all of these computational tools.
You will learn to write programs, generate images from data, and work with
real-world data sets that are published online.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":231,""source_path"":""01/1/1/computational-tools.md"",""estimated_minutes"":2}",3,1
1320813483,How Data Behaves in Code,,,,04data_typesipynb,1,Data Types,"Data Types Every value has a type, and the builtin type function returns the type of the result of any expression. One type we have encountered already is a builtin function. Python indicates that the type is a builtinfunctionormethod; the distinction between a function and a method is not important at this stage. This chapter will explore many useful types of data.","# Data Types

Every value has a type, and the built-in `type` function returns the type of the result of any expression.

One type we have encountered already is a built-in function. Python indicates that the type is a `builtin_function_or_method`; the distinction between a *function* and a *method* is not important at this stage.

This chapter will explore many useful types of data.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":64,""source_path"":""04/Data_Types.ipynb"",""estimated_minutes"":1}",1,4
1739879824,Teaching the Computer to Work with Data,,,,031expressionsipynb,1,Expressions,"Expressions Programming languages are much simpler than human languages. Nonetheless, there are some rules of grammar to learn in any language, and that is where we will begin. In this text, we will use the  programming language. Learning the grammar rules is essential, and the same rules used in the most basic programs are also central to more sophisticated programs. Programs are made up of expressions, which describe to the computer how to combine pieces of data. For example, a multiplication expression consists of a  symbol between two numerical expressions. Expressions, such as 3  4, are evaluated by the computer. The value (the result of evaluation) of the last expression in each cell, 12 in this case, is displayed below the cell. The grammar rules of a programming language are rigid. In Python, the  symbol cannot appear twice in a row. The computer will not try to interpret an expr

ession that differs from its prescribed expression structures. Instead, it will show a SyntaxError error. The Syntax of a language is its set of grammar rules, and a SyntaxError indicates that an expression structure doesn't match any of the rules of the language. Small changes to an expression can change its meaning entirely. Below, the space between the 's has been removed. Because  appears between two numerical expressions, the expression is a wellformed exponentiation expression (the first number raised to the power of the second: 3 times 3 times 3 times 3). The symbols  and  are called operators, and the values they combine are called operands. Common Operators. Data science often involves combining numerical values, and the set of operators in a programming language are designed so that expressions can be used to express any sort of arithmetic. In Python, the following operators ar

e essential. | Expression Type | Operator | Example | Value | ||||| | Addition | + | 2 + 3 | 5 | | Subtraction |  | 2  3 | 1 | | Multiplication |  | 2  3 | 6 | | Division | / | 7 / 3 | 2.66667 | | Remainder | % | 7 % 3 | 1 | | Exponentiation |  | 2  0.5 | 1.41421 | Python expressions obey the same familiar rules of precedence as in algebra: multiplication and division occur before addition and subtraction. Parentheses can be used to group together smaller expressions within a larger expression. This chapter introduces many types of expressions. Learning to program involves trying out everything you learn in combination, investigating the behavior of the computer. What happens if you divide by zero? What happens if you divide twice in a row? You don't always need to ask an expert (or the Internet); many of these details can be discovered by trying them out yourself.","# Expressions

Programming languages are much simpler than human languages. Nonetheless, there are some rules of grammar to learn in any language, and that is where we will begin. In this text, we will use the [Python](https://www.python.org/) programming language. Learning the grammar rules is essential, and the same rules used in the most basic programs are also central to more sophisticated programs.

Programs are made up of *expressions*, which describe to the computer how to combine pieces of data. For example, a multiplication expression consists of a `*` symbol between two numerical expressions. Expressions, such as `3 * 4`, are *evaluated* by the computer. The value (the result of *evaluation*) of the last expression in each cell, `12` in this case, is displayed below the cell.

The grammar rules of a programming language are rigid. In Python, the `*` symbol cannot appear twice in a row. The computer will not try to interpret an expression that differs from its prescribed expression structures. Instead, it will show a `SyntaxError` error. The *Syntax* of a language is its set of grammar rules, and a `SyntaxError` indicates that an expression structure doesn't match any of the rules of the language.

Small changes to an expression can change its meaning entirely. Below, the space between the `*`'s has been removed. Because `**` appears between two numerical expressions, the expression is a well-formed *exponentiation* expression (the first number raised to the power of the second: 3 times 3 times 3 times 3). The symbols `*` and `**` are called *operators*, and the values they combine are called *operands*.

**Common Operators.** Data science often involves combining numerical values, and the set of operators in a programming language are designed so that expressions can be used to express any sort of arithmetic. In Python, the following operators are essential.

| Expression Type | Operator | Example    | Value     |

|-----------------|----------|------------|-----------|

| Addition        | `+`      | `2 + 3`    | `5`       |

| Subtraction     | `-`      | `2 - 3`    | `-1`      |

| Multiplication  | `*`      | `2 * 3`    | `6`       |

| Division        | `/`      | `7 / 3`    | `2.66667` 

| Remainder       | `%`      | `7 % 3`    | `1`       |

| Exponentiation  | `**`     | `2 ** 0.5` | `1.41421` |

Python expressions obey the same familiar rules of *precedence* as in algebra: multiplication and division occur before addition and subtraction. Parentheses can be used to group together smaller expressions within a larger expression.

This chapter introduces many types of expressions. Learning to program involves trying out everything you learn in combination, investigating the behavior of the computer. What happens if you divide by zero? What happens if you divide twice in a row? You don't always need to ask an expert (or the Internet); many of these details can be discovered by trying them out yourself.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":430,""source_path"":""03/1/Expressions.ipynb"",""estimated_minutes"":3}",2,3
1930966851,Seeing the World Through Data,,,,013plotting_the_classicsipynb,1,Plotting the Classics,"Plotting the Classics In this example, we will explore statistics for two classic novels: The Adventures of Huckleberry Finn by Mark Twain, and Little Women by Louisa May Alcott. The text of any book can be read by a computer at great speed. Books published before 1923 are currently in the public domain, meaning that everyone has the right to copy or use the text in any way.  is a website that publishes public domain books online. Using Python, we can load the text of these books directly from the web. This example is meant to illustrate some of the broad themes of this text. Don't worry if the details of the program don't yet make sense. Later sections of the text will describe most of the features of the Python programming language used below. First, we read the text of both books into lists of chapters, called huckfinnchapters

 and littlewomenchapters. In Python, a name cannot contain any spaces, and so we will often use an underscore  to stand in for a space. The  in the lines below give a name on the left to the result of some computation described on the right. A uniform resource locator or URL is an address on the Internet for some content; in this case, the text of a book. The  symbol starts a comment, which is ignored by the computer but helpful for people reading the code. While a computer cannot understand the text of a book, it can provide us with some insight into the structure of the text. The name huckfinnchapters is currently bound to a list of all the chapters in the book. We can place them into a table to see how each chapter begins. Each chapter begins with a chapter number in Roman numerals, followed by the first sentence of the chapter. Project Gutenberg has printed the first word of each cha

pter in upper case.","# Plotting the Classics

In this example, we will explore statistics for two classic novels: *The Adventures of Huckleberry Finn* by Mark Twain, and *Little Women* by Louisa May Alcott. The text of any book can be read by a computer at great speed. Books published before 1923 are currently in the *public domain*, meaning that everyone has the right to copy or use the text in any way. [Project Gutenberg](http://www.gutenberg.org/) is a website that publishes public domain books online. Using Python, we can load the text of these books directly from the web.

This example is meant to illustrate some of the broad themes of this text. Don't worry if the details of the program don't yet make sense. Later sections of the text will describe most of the features of the Python programming language used below.

First, we read the text of both books into lists of chapters, called `huck_finn_chapters` and `little_women_chapters`. In Python, a name cannot contain any spaces, and so we will often use an underscore `_` to stand in for a space. The `=` in the lines below give a name on the left to the result of some computation described on the right. A *uniform resource locator* or *URL* is an address on the Internet for some content; in this case, the text of a book. The `#` symbol starts a comment, which is ignored by the computer but helpful for people reading the code.

While a computer cannot understand the text of a book, it can provide us with some insight into the structure of the text. The name `huck_finn_chapters` is currently bound to a list of all the chapters in the book. We can place them into a table to see how each chapter begins.

Each chapter begins with a chapter number in Roman numerals, followed by the first sentence of the chapter. Project Gutenberg has printed the first word of each chapter in upper case.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":335,""source_path"":""01/3/Plotting_the_Classics.ipynb"",""estimated_minutes"":2}",6,1
2027312779,From Correlation to Causation,,,,02causality-and-experimentsmd,1,Causality And Experiments,"Causality and Experiments  ""These problems are, and will probably ever remain, among the inscrutable secrets of nature. They belong to a class of questions radically inaccessible to the human intelligence."" —The Times of London, September 1849, on how cholera is contracted and spread Does the death penalty have a deterrent effect? Is chocolate good for you? What causes breast cancer? All of these questions attempt to assign a cause to an effect. A careful examination of data can help shed light on questions like these. In this section you will learn some of the fundamental concepts involved in establishing causality. Observation is a key to good science. An observational study is one in which scientists make conclusions based on data that they have observed but had no hand in generating. In data science, many such studies involve observations on a group of individuals, a factor of intere

st called a treatment, and an outcome measured on each individual. It is easiest to think of the individuals as people. In a study of whether chocolate is good for the health, the individuals would indeed be people, the treatment would be eating chocolate, and the outcome might be a measure of heart disease. But individuals in observational studies need not be people. In a study of whether the death penalty has a deterrent effect, the individuals could be the 50 states of the union. A state law allowing the death penalty would be the treatment, and an outcome could be the state’s murder rate. The fundamental question is whether the treatment has an effect on the outcome. Any relation between the treatment and the outcome is called an association. If the treatment causes the outcome to occur, then the association is causal. Causality is at the heart of all three questions posed at the sta

rt of this section. For example, one of the questions was whether chocolate directly causes improvements in health, not just whether there is a relation between chocolate and health. The establishment of causality often takes place in two stages. First, an association is observed. Next, a more careful analysis leads to a decision about causality.","Causality and Experiments
=========================

*""These problems are, and will probably ever remain, among the inscrutable
secrets of nature. They belong to a class of questions radically inaccessible to
the human intelligence.""* —The Times of London, September 1849, on how cholera
is contracted and spread

Does the death penalty have a deterrent effect? Is chocolate good for you? What
causes breast cancer?

All of these questions attempt to assign a cause to an effect. A careful
examination of data can help shed light on questions like these. In this section
you will learn some of the fundamental concepts involved in establishing
causality.

Observation is a key to good science. An *observational study* is one in which
scientists make conclusions based on data that they have observed but had no
hand in generating. In data science, many such studies involve observations on a
group of individuals, a factor of interest called a *treatment*, and an
*outcome* measured on each individual.

It is easiest to think of the individuals as people. In a study of whether
chocolate is good for the health, the individuals would indeed be people, the
treatment would be eating chocolate, and the outcome might be a measure of heart disease. But individuals in observational studies need not be people. In a
study of whether the death penalty has a deterrent effect, the individuals could
be the 50 states of the union. A state law allowing the death penalty would be
the treatment, and an outcome could be the state’s murder rate.

The fundamental question is whether the treatment has an effect on the outcome.
Any relation between the treatment and the outcome is called an *association*.
If the treatment causes the outcome to occur, then the association is *causal*.
*Causality* is at the heart of all three questions posed at the start of this
section. For example, one of the questions was whether chocolate directly causes
improvements in health, not just whether there is a relation between
chocolate and health.

The establishment of causality often takes place in two stages. First, an
association is observed. Next, a more careful analysis leads to a decision about
causality.
","{""source"":""Data 8 Textbook (local copy)"",""word_count"":357,""source_path"":""02/causality-and-experiments.md"",""estimated_minutes"":2}",1,2
